COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,й╩дёи╥,дс╢q,дHдf▒Kл╫,з▀╛iдё,з▀еодё,з▀ж╤дё,ж╤д╞л№╝╞,╕ъо╞о╔╢б
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-013,е·╡╪и╜,94.66,2.46,50189.67,43.55,16.63,26.92,161.85,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-014,░ъе·и╜,91.48,2.43,68037.26,41.95,11.47,30.49,265.9,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-015,┤фз└и╜,90.44,2.69,68606.27,39.41,20.03,19.39,96.8,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-016,кў╡╪и╜,95.91,2.76,76191.89,43.25,18.39,24.86,135.16,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-017,┤ф╝wи╜,95.66,2.51,67815,45.41,16.2,29.21,180.29,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-018,е┴┼vи╜,91.95,2.46,48430.28,50.14,15.93,34.21,214.69,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-019,л╪░ъи╜,92.5,2.51,62795.9,44.09,15.92,28.17,177,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-020,║~е═и╜,94.03,2.57,40165.24,56.94,25.13,31.82,126.64,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-021,д╜БFи╜,97.87,2.67,50074.1,45.25,20.4,24.85,121.79,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-022,╖sе┴и╜,94.19,2.63,15618.85,52.55,26.96,25.58,94.88,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-023,йп║╓и╜,95.84,2.65,37806.72,40.15,15.17,24.97,164.61,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-024,й╛╕█и╜,92.44,2.48,36994.03,50.71,22.46,28.25,125.76,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-025,ж╩╣╪и╜,86.25,2.42,50420.45,52.66,28.69,23.98,83.57,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-026,д╢╣╪и╜,90.69,2.54,42010.02,54.19,25.92,28.27,109.07,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-027,╖sоHи╜,95.5,2.4,36543.71,41.74,13.45,28.3,210.4,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-028,╡╪ж┐и╜,85.71,2.44,66957.38,46.95,28.47,18.48,64.9,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-029,ж┐╗Aи╜,96.08,2.56,38788.68,37.37,15.1,22.27,147.49,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-030,п┬╗Aи╜,92.67,2.64,46823.42,38.26,15.81,22.45,142,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-031,╖╦└Yи╜,96.09,2.45,8238.91,38.33,16.66,21.67,130.07,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-032,┴p╗Aи╜,87.59,2.27,49638.27,36,13.36,22.64,169.52,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-033,з╗╗Aи╜,88.72,2.2,12319.54,34.25,16.24,18.01,110.9,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-034,дп╗Aи╜,93.77,2.65,76852.31,42.84,14.17,28.68,202.41,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-035,╖s╗Aи╜,91.66,2.53,71278.99,34.41,15.62,18.79,120.33,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-036,жN╗Aи╜,94.83,2.77,71337.06,39.46,17.13,22.32,130.3,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-037,╝w╗Aи╜,95.7,2.72,68773.76,32.05,17.75,14.3,80.57,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-038,║б╗Aи╜,93.05,2.64,51676.19,42.94,13.87,29.07,209.52,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-039,й·╗Aи╜,94.89,2.47,46755.09,40.64,13.99,26.66,190.53,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-040,кQ╗Aи╜,91.25,2.41,48443,40.33,14.96,25.37,169.57,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-041,мf╗Aи╜,92.61,2.23,6946.39,37.37,16.32,21.04,128.9,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-042,└s╗Aи╜,94.95,2.53,42853.06,35.53,13.83,21.7,156.92,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-043,╡╪╗Aи╜,92.88,2.68,42313.26,43.5,20.96,22.54,107.56,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-044,й╛╗Aи╜,87.12,2.43,52153.73,36.79,20.3,16.49,81.24,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-045,┤P╗Aи╜,97.65,2.57,55991.64,39.97,15.34,24.62,160.51,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-046,дх╗Aи╜,96.4,2.59,30881.83,39.78,14.91,24.87,166.82,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-047,лC╗Aи╜,103.75,2.51,54281.54,38.05,13.29,24.76,186.35,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-048,├h╗Aи╜,97.44,2.77,20949.94,34.75,14.25,20.5,143.87,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-049,║╓╗Aи╜,101.17,2.42,10610,44.2,15.67,28.53,182,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-050,┤ф╝Lи╜,96.12,2.52,28956.92,34.17,13.2,20.98,158.97,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-051,о╢┐│и╜,95.49,2.64,43028.28,36.67,11.95,24.72,206.92,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-052,о╢╕qи╜,96.3,2.58,14382.07,36.45,13.2,23.26,176.2,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-053,е·┤_и╜,104.27,2.5,8674.9,35.88,14.35,21.53,150,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-054,оHсYи╜,91.31,2.45,55735.44,33.51,12.42,21.1,169.87,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-055,к°╣╪и╜,97.22,2.71,28264.27,43.12,15.54,27.58,177.47,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-056,║╓╣╪и╜,95.2,2.62,31338.45,33.95,13.05,20.9,160.18,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-057,о№дsи╜,90.55,2.95,64502.74,48.81,28.84,19.97,69.25,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-058,дEжpи╜,93.21,2.67,47536.46,39.62,16.75,22.88,136.62,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-059,е╔е·и╜,90.02,2.51,46301.28,41.94,22.32,19.62,87.89,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-060,е·дпи╜,96.11,2.89,27769.63,46.99,21.46,25.53,119,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-061,░ёсYи╜,90.32,2.61,64785.42,48.48,27.46,21.02,76.55,109Y09M
