"","city","township","village","fullname","Nb","Nr","Nt"
"179","高雄市","杉林區","月美里","高雄市杉林區月美里",228,32.4325,24
"180","高雄市","林園區","中厝里","高雄市林園區中厝里",31.1875,35.6811,31
"181","高雄市","林園區","東汕里","高雄市林園區東汕里",16.8,17.2613,15
"182","高雄市","林園區","頂厝里","高雄市林園區頂厝里",29,12.8913,13
"183","高雄市","前金區","文東里","高雄市前金區文東里",0,0,0
"184","高雄市","前鎮區","明孝里","高雄市前鎮區明孝里",53.4,45.9281,43
"185","高雄市","前鎮區","振興里","高雄市前鎮區振興里",9.25,9.4699,10
"186","高雄市","前鎮區","瑞北里","高雄市前鎮區瑞北里",5,5.0532,5
"187","高雄市","前鎮區","瑞昌里","高雄市前鎮區瑞昌里",7.3333,6.8719,7
"188","高雄市","前鎮區","鎮昌里","高雄市前鎮區鎮昌里",12,15.5355,12
"189","高雄市","美濃區","中壇里","高雄市美濃區中壇里",217,30.3346,23
"190","高雄市","美濃區","清水里","高雄市美濃區清水里",38,15.9609,13
"191","高雄市","美濃區","福安里","高雄市美濃區福安里",19,26.7531,19
"192","高雄市","苓雅區","正義里","高雄市苓雅區正義里",6.25,8.1576,7
"193","高雄市","苓雅區","林中里","高雄市苓雅區林中里",3,3.0868,3
"194","高雄市","苓雅區","林西里","高雄市苓雅區林西里",1,1,1
"195","高雄市","苓雅區","林貴里","高雄市苓雅區林貴里",15,6.0373,6
"196","高雄市","苓雅區","美田里","高雄市苓雅區美田里",0,0,0
"197","高雄市","苓雅區","凱旋里","高雄市苓雅區凱旋里",0,0,0
"198","高雄市","苓雅區","福隆里","高雄市苓雅區福隆里",1,1,1
"199","高雄市","新興區","文昌里","高雄市新興區文昌里",0,0,0
"200","高雄市","新興區","永寧里","高雄市新興區永寧里",3,3.6664,3
"201","高雄市","新興區","玉衡里","高雄市新興區玉衡里",4,4.2436,4
"202","高雄市","楠梓區","中陽里","高雄市楠梓區中陽里",24.5385,25.9979,20
"203","高雄市","楠梓區","裕昌里","高雄市楠梓區裕昌里",2.6,6.8051,5
"204","高雄市","楠梓區","錦屏里","高雄市楠梓區錦屏里",24,25.8277,19
"205","高雄市","鼓山區","光化里","高雄市鼓山區光化里",27,26.2294,27
"206","高雄市","鼓山區","新民里","高雄市鼓山區新民里",3,3.0868,3
"207","高雄市","鼓山區","龍井里","高雄市鼓山區龍井里",11,12.9135,11
"208","高雄市","旗津區","北汕里","高雄市旗津區北汕里",32,30.2932,32
"209","高雄市","鳳山區","和德里","高雄市鳳山區和德里",7,8.6939,7
"210","高雄市","鳳山區","忠義里","高雄市鳳山區忠義里",2.0002,2.0002,2
"211","高雄市","鳳山區","武漢里","高雄市鳳山區武漢里",1,1,1
"212","高雄市","鳳山區","新武里","高雄市鳳山區新武里",2,2,2
"213","高雄市","鳳山區","鳳崗里","高雄市鳳山區鳳崗里",0,0,0
"214","高雄市","橋頭區","仕豐里","高雄市橋頭區仕豐里",10,10.0898,10
"215","高雄市","橋頭區","新莊里","高雄市橋頭區新莊里",101.6667,68.5487,55
"216","高雄市","橋頭區","橋南里","高雄市橋頭區橋南里",83.2,74.2283,39
"217","高雄市","鹽埕區","中原里","高雄市鹽埕區中原里",3,3.5004,3
"218","高雄市","鹽埕區","育仁里","高雄市鹽埕區育仁里",1.0001,1.0001,1
"219","高雄市","鹽埕區","河濱里","高雄市鹽埕區河濱里",29,9.9509,8
"220","高雄市","鹽埕區","陸橋里","高雄市鹽埕區陸橋里",2,2,2
"221","基隆市","七堵區","堵北里","基隆市七堵區堵北里",61.6667,28.2962,21
"222","基隆市","中山區","中興里","基隆市中山區中興里",30.5,13.4,12
"223","基隆市","中山區","仁正里","基隆市中山區仁正里",7,9.2678,7
"224","基隆市","中山區","居仁里","基隆市中山區居仁里",20,24.4514,20
"225","基隆市","中山區","通化里","基隆市中山區通化里",64,21.9804,18
"226","基隆市","中正區","中砂里","基隆市中正區中砂里",14.5556,16.376,13
"227","基隆市","中正區","平寮里","基隆市中正區平寮里",9.1667,10.9576,9
"228","基隆市","中正區","正砂里","基隆市中正區正砂里",38,19.8226,10
"229","基隆市","中正區","砂灣里","基隆市中正區砂灣里",294,41.535,30
"230","基隆市","仁愛區","吉仁里","基隆市仁愛區吉仁里",75,25.9111,24
"231","基隆市","仁愛區","書院里","基隆市仁愛區書院里",16,22.0414,16
"232","基隆市","安樂區","五福里","基隆市安樂區五福里",14,18.6714,14
"233","基隆市","信義區","東明里","基隆市信義區東明里",35.2857,20.8395,21
"234","基隆市","暖暖區","暖西里","基隆市暖暖區暖西里",558,47.7599,37
"235","連江縣","南竿鄉","四維村","連江縣南竿鄉四維村",0,0,0
"236","連江縣","南竿鄉","復興村","連江縣南竿鄉復興村",0,0,0
"237","雲林縣","口湖鄉","崙中村","雲林縣口湖鄉崙中村",77.5556,45.1372,34
"238","雲林縣","口湖鄉","梧北村","雲林縣口湖鄉梧北村",40.5,17.6077,14
"239","雲林縣","口湖鄉","港西村","雲林縣口湖鄉港西村",92,17.9502,16
"240","雲林縣","土庫鎮","大荖里","雲林縣土庫鎮大荖里",1,1,1
"241","雲林縣","土庫鎮","忠正里","雲林縣土庫鎮忠正里",2,2.1111,2
"242","雲林縣","土庫鎮","溪邊里","雲林縣土庫鎮溪邊里",20.8889,24.0875,16
"243","雲林縣","土庫鎮","奮起里","雲林縣土庫鎮奮起里",9.6667,10.0445,11
"244","雲林縣","土庫鎮","興新里","雲林縣土庫鎮興新里",31,11.7448,9
"245","雲林縣","元長鄉","合和村","雲林縣元長鄉合和村",0,0,0
"246","雲林縣","元長鄉","卓運村","雲林縣元長鄉卓運村",1,1,1
"247","雲林縣","元長鄉","頂寮村","雲林縣元長鄉頂寮村",3,3,3
"248","雲林縣","斗南鎮","大東里","雲林縣斗南鎮大東里",45,11.6478,10
"249","雲林縣","斗南鎮","北銘里","雲林縣斗南鎮北銘里",9,9.8749,9
"250","雲林縣","斗南鎮","東仁里","雲林縣斗南鎮東仁里",6.5,5.2278,4
"251","雲林縣","斗南鎮","阿丹里","雲林縣斗南鎮阿丹里",43.1667,24.6941,20
"252","雲林縣","斗南鎮","南昌里","雲林縣斗南鎮南昌里",32,17.3437,11
"253","雲林縣","斗南鎮","舊社里","雲林縣斗南鎮舊社里",3,3.2,3
"254","雲林縣","水林鄉","松西村","雲林縣水林鄉松西村",45.3333,25.0677,25
"255","雲林縣","水林鄉","塭底村","雲林縣水林鄉塭底村",15.6364,14.3075,14
"256","雲林縣","水林鄉","蕃薯村","雲林縣水林鄉蕃薯村",11.1818,15.5557,12
"257","雲林縣","水林鄉","灣西村","雲林縣水林鄉灣西村",11.6667,13.9487,9
"258","雲林縣","林內鄉","坪頂村","雲林縣林內鄉坪頂村",38.0455,42.2624,32
"259","雲林縣","林內鄉","林北村","雲林縣林內鄉林北村",128.1667,53.4324,39
"260","雲林縣","林內鄉","林茂村","雲林縣林內鄉林茂村",32.5455,24.3423,21
"261","雲林縣","虎尾鎮","中山里","雲林縣虎尾鎮中山里",14.2,10.5935,10
"262","雲林縣","虎尾鎮","立仁里","雲林縣虎尾鎮立仁里",27,9.381,8
"263","雲林縣","虎尾鎮","堀頭里","雲林縣虎尾鎮堀頭里",4,6.0716,4
"264","新北市","三芝區","古庄里","新北市三芝區古庄里",147,22.2704,19
"265","新北市","三芝區","店子里","新北市三芝區店子里",12,14.9532,12
"266","新北市","三芝區","橫山里","新北市三芝區橫山里",14,16.6047,14
"267","新北市","三芝區","錫板里","新北市三芝區錫板里",159,37.2879,27
"268","新北市","三重區","五福里","新北市三重區五福里",1,1,1
"269","新北市","三重區","六福里","新北市三重區六福里",5,5.6408,5
"270","新北市","三重區","文化里","新北市三重區文化里",1,1,1
"271","新北市","三重區","永安里","新北市三重區永安里",1.5,2.1111,2
"272","新北市","三重區","永豐里","新北市三重區永豐里",5,6.5999,5
"273","新北市","三重區","幸福里","新北市三重區幸福里",16.5,9.8749,9
"274","新北市","三重區","信安里","新北市三重區信安里",0,0,0
"275","新北市","三重區","培德里","新北市三重區培德里",3,3.5004,3
"276","新北市","三重區","萬壽里","新北市三重區萬壽里",1,1,1
"277","新北市","三重區","福星里","新北市三重區福星里",0,0,0
"278","新北市","中和區","仁和里","新北市中和區仁和里",0,0,0
"279","新北市","中和區","文元里","新北市中和區文元里",0,1,1
"280","新北市","中和區","安平里","新北市中和區安平里",8,8,8
"281","新北市","中和區","秀成里","新北市中和區秀成里",6,6.8178,6
"282","新北市","中和區","秀景里","新北市中和區秀景里",14,14.2858,14
"283","新北市","中和區","秀義里","新北市中和區秀義里",0,0,0
"284","新北市","中和區","冠穗里","新北市中和區冠穗里",2,1.3333,2
