,names,country,town,village,y_bar,x_bar,cof1,cof2,Nb,Nr,Nt
191,李泓哲,高雄市,美濃區,福安里,3.8,8.4,4.624113475,-0.0981,19,47.1367,19
192,侯湘葶,高雄市,苓雅區,正義里,1.4,3.6,2.506024096,-0.3072,6.25,8.1576,7
193,范馨予,高雄市,苓雅區,林中里,0.6,2.2,2.088235294,-0.6765,3,3.0868,3
194,李泓哲,高雄市,苓雅區,林西里,0.2,0.8,1,-1,1,1,1
195,侯湘葶,高雄市,苓雅區,林貴里,1.2,4.2,3.943548387,-0.6532,15,6.0373,6
196,侯湘葶,高雄市,苓雅區,美田里,0,0,0,NA,0,0,0
197,侯湘葶,高雄市,苓雅區,凱旋里,0,0,0,NA,0,0,0
198,侯湘葶,高雄市,苓雅區,福隆里,0.2,0.6,0.5,-0.5,1,1,1
199,侯湘葶,高雄市,新興區,文昌里,0,0,0,NA,0,0,0
200,李泓哲,高雄市,新興區,永寧里,0.6,1,0.766666667,-0.1667,3,4.5991,3
201,范馨予,高雄市,新興區,玉衡里,0.8,2.6,2.065789474,-0.4868,4,4.2436,4
202,范馨予,高雄市,楠梓區,中陽里,4,8.6,5.181818182,-0.1374,24.5385,37.7134,20
203,侯湘葶,高雄市,楠梓區,裕昌里,1,1.2,1.127659574,-0.1064,2.6,10.5983,5
204,侯湘葶,高雄市,楠梓區,錦屏里,3.8,8.4,4.8125,-0.1205,24,39.9378,19
205,范馨予,高雄市,鼓山區,光化里,5.4,17,15.34417476,-0.585,27,26.2294,27
206,侯湘葶,高雄市,鼓山區,新民里,0.6,2.2,2.088235294,-0.6765,3,3.0868,3
207,范馨予,高雄市,鼓山區,龍井里,2.2,6,4.109090909,-0.3182,11,12.9135,11
208,范馨予,高雄市,旗津區,北汕里,6.4,19.6,18.13353338,-0.5986,32,30.2932,32
209,范馨予,高雄市,鳳山區,和德里,1.4,3,1.9,-0.1667,7,11.3977,7
210,侯湘葶,高雄市,鳳山區,忠義里,0.4,0.8,0.666666667,-0.3333,2.0002,2.0002,2
211,侯湘葶,高雄市,鳳山區,武漢里,0.2,0.8,1,-1,1,1,1
212,侯湘葶,高雄市,鳳山區,新武里,0.4,1.2,1,-0.5,2,2,2
213,范馨予,高雄市,鳳山區,鳳崗里,0,0,0,NA,0,0,0
214,范馨予,高雄市,橋頭區,仕豐里,2,5,3.964285714,-0.3929,10,10.0898,10
215,侯湘葶,高雄市,橋頭區,新莊里,11,26.8,16.02032004,-0.1873,55,85.5329,55
216,范馨予,高雄市,橋頭區,橋南里,6.5,18.33333333,8.632755474,-0.1163,83.2,74.2283,39
217,李泓哲,高雄市,鹽埕區,中原里,0.6,1.8,1.235294118,-0.3529,3,3.5004,3
218,范馨予,高雄市,鹽埕區,育仁里,0.2,0.4,0.333333333,-0.3333,1.0001,1.0001,1
219,侯湘葶,高雄市,鹽埕區,河濱里,1.6,3.4,2.125,-0.1544,29,13.763,8
220,侯湘葶,高雄市,鹽埕區,陸橋里,0.4,1.2,1,-0.5,2,2,2
221,古庭瑜,基隆市,七堵區,堵北里,4.2,9.4,5.509954058,-0.1394,61.6667,39.5262,21
222,古庭瑜,基隆市,中山區,中興里,2.4,7,5.025,-0.375,30.5,13.4,12
223,古庭瑜,基隆市,中山區,仁正里,1.4,3.6,2.289156627,-0.247,7,9.2678,7
224,古庭瑜,基隆市,中山區,居仁里,4,10.6,7.06155303,-0.2888,20,24.4514,20
225,古庭瑜,基隆市,中山區,通化里,3.6,8.2,5.128463476,-0.1864,64,27.5132,18
226,古庭瑜,基隆市,中正區,中砂里,2.6,6.2,4.184065934,-0.2555,14.5556,16.376,13
227,古庭瑜,基隆市,中正區,平寮里,1.8,3.6,2.285714286,-0.1349,9.1667,16.9438,9
228,古庭瑜,基隆市,中正區,正砂里,2,3.2,2,0,38,10,10
229,古庭瑜,基隆市,中正區,砂灣里,6,11.6,7.293272865,-0.1115,30,65.4105,30
230,古庭瑜,基隆市,仁愛區,吉仁里,4.8,12.6,9.343527738,-0.3606,75,25.9111,24
231,古庭瑜,基隆市,仁愛區,書院里,3.2,6.4,3.54679803,-0.0542,16,65.4391,16
232,古庭瑜,基隆市,安樂區,五福里,2.8,7.4,4.637987013,-0.2484,14,18.6714,14
233,古庭瑜,基隆市,信義區,東明里,4.2,11.8,9.682042834,-0.4646,35.2857,20.8395,21
234,古庭瑜,基隆市,暖暖區,暖西里,7.4,16.8,9.764826176,-0.1408,37,69.3525,37
235,李泓哲,連江縣,南竿鄉,四維村,0,0,0,NA,0,0,0
236,李泓哲,連江縣,南竿鄉,復興村,0,0,0,NA,0,0,0
237,林少穎,雲林縣,口湖鄉,崙中村,6.8,14.8,8.403776978,-0.1084,77.5556,77.5256,34
238,林少穎,雲林縣,口湖鄉,梧北村,2.8,7.2,4.736462094,-0.269,40.5,17.6077,14
239,林少穎,雲林縣,口湖鄉,港西村,3.2,9.6,6.878504673,-0.3832,92,17.9502,16
240,林少穎,雲林縣,土庫鎮,大荖里,0.2,0.8,1,-1,1,1,1
241,蘇心俞,雲林縣,土庫鎮,忠正里,0.4,1.4,1.1875,-0.5625,2,2.1111,2
242,林少穎,雲林縣,土庫鎮,溪邊里,3.2,6.6,3.770992366,-0.0865,20.8889,43.5953,16
243,林少穎,雲林縣,土庫鎮,奮起里,2.2,7.2,7.76744186,-0.7733,9.6667,10.0445,11
244,林少穎,雲林縣,土庫鎮,興新里,1.8,4,2.408695652,-0.1522,31,15.8259,9
245,林少穎,雲林縣,元長鄉,合和村,0,0,0,NA,0,0,0
246,林少穎,雲林縣,元長鄉,卓運村,0.2,0.2,0.25,-0.25,1,1,1
247,林少穎,雲林縣,元長鄉,頂寮村,0.6,2.4,3,-1,3,3,3
248,林少穎,雲林縣,斗南鎮,大東里,2,5.2,3.613138686,-0.3102,45,11.6478,10
249,林少穎,雲林縣,斗南鎮,北銘里,1.8,5.4,3.97265625,-0.4023,9,9.8749,9
250,林少穎,雲林縣,斗南鎮,東仁里,0.8,1.8,1.109375,-0.1719,6.5,6.4536,4
251,林少穎,雲林縣,斗南鎮,阿丹里,4,10.4,6.909413854,-0.2798,43.1667,24.6941,20
252,林少穎,雲林縣,斗南鎮,南昌里,2.2,4.4,2.538461538,-0.0769,32,33.0099,11
253,林少穎,雲林縣,斗南鎮,舊社里,0.6,2,1.6,-0.5,3,3.2,3
254,林少穎,雲林縣,水林鄉,松西村,5,16.4,14.46153846,-0.5769,45.3333,25.0677,25
255,林少穎,雲林縣,水林鄉,塭底村,2.8,9.2,7.843373494,-0.5482,15.6364,14.3075,14
256,林少穎,雲林縣,水林鄉,蕃薯村,2.4,4.8,2.803738318,-0.0841,11.1818,33.3381,12
257,林少穎,雲林縣,水林鄉,灣西村,1.8,3.4,2.073426573,-0.0804,11.6667,25.7889,9
258,林少穎,雲林縣,林內鄉,坪頂村,6.4,14.6,8.34375,-0.1331,38.0455,62.6878,32
259,林少穎,雲林縣,林內鄉,林北村,7.8,16.4,9.461311282,-0.1013,39,93.3989,39
260,林少穎,雲林縣,林內鄉,林茂村,4.2,11,7.662962963,-0.3148,32.5455,24.3423,21
261,蘇心俞,雲林縣,虎尾鎮,中山里,2,6.4,5.052023121,-0.4769,14.2,10.5935,10
262,林少穎,雲林縣,虎尾鎮,立仁里,1.6,4.6,3.139830508,-0.3347,27,9.381,8
263,林少穎,雲林縣,虎尾鎮,堀頭里,0.8,1.4,0.891304348,-0.0652,4,13.6703,4
