COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF01_C9,LINF01_C10,LINF01_C11,LINF01_C12,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF02_C9,LINF02_C10,LINF02_C11,LINF02_C12,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF03_C9,LINF03_C10,LINF03_C11,LINF03_C12,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF04_C9,LINF04_C10,LINF04_C11,LINF04_C12,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位面積建物型態總計,不含車位面積公寓,不含車位面積透天厝,不含車位面積店面(店舖),不含車位面積辦公商業大樓,不含車位面積住宅大樓,不含車位面積華廈,不含車位面積套房,不含車位面積工廠,不含車位面積廠辦,不含車位面積農舍,不含車位面積倉庫,不含車位面積其他,不含車位中位數房價建物型態總計,不含車位中位數房價公寓,不含車位中位數房價透天厝,不含車位中位數房價店面(店舖),不含車位中位數房價辦公商業大樓,不含車位中位數房價住宅大樓,不含車位中位數房價華廈,不含車位中位數房價套房,不含車位中位數房價工廠,不含車位中位數房價廠辦,不含車位中位數房價農舍,不含車位中位數房價倉庫,不含車位中位數房價其他,含車位面積建物型態總計,含車位面積公寓,含車位面積透天厝,含車位面積店面(店舖),含車位面積辦公商業大樓,含車位面積住宅大樓,含車位面積華廈,含車位面積套房,含車位面積工廠,含車位面積廠辦,含車位面積農舍,含車位面積倉庫,含車位面積其他,含車位中位數房價建物型態總計,含車位中位數房價公寓,含車位中位數房價透天厝,含車位中位數房價店面(店舖),含車位中位數房價辦公商業大樓,含車位中位數房價住宅大樓,含車位中位數房價華廈,含車位中位數房價套房,含車位中位數房價工廠,含車位中位數房價廠辦,含車位中位數房價農舍,含車位中位數房價倉庫,含車位中位數房價其他,資料時間
63000,臺北市,63000070,萬華區,9411.8,2303.73,1136.91,0,0,4402.94,1555.73,12.5,0,0,0,0,0,10130000,8400000,23444000,0,0,12800000,12180000,6650000,0,0,0,0,0,1947.58,0,0,0,0,1786.19,161.39,0,0,0,0,0,0,23515000,0,0,0,0,23935954,16260000,0,0,0,0,0,0,"109Y3S"
63000,臺北市,63000080,文山區,15749.64,5468.81,500.36,0,0,5156.05,4624.43,0,0,0,0,0,0,13000000,11170000,22650000,0,0,15330000,14015000,0,0,0,0,0,0,8952.67,514.96,265.26,0,0,4971.7,3200.74,0,0,0,0,0,0,21660000,12815000,32400000,0,0,24500000,18000000,0,0,0,0,0,0,"109Y3S"
63000,臺北市,63000090,南港區,8457.03,3301.2,152.94,0,0,2820.23,1001.59,0,0,1181.06,0,0,0,16840000,12890000,22000000,0,0,28580000,17500000,0,0,52005000,0,0,0,5932.48,0,0,0,0,3448.17,2069.48,0,0,414.83,0,0,0,31880000,0,0,0,0,37860000,20900000,0,0,60700000,0,0,0,"109Y3S"
63000,臺北市,63000100,內湖區,22199.09,6086.45,604.86,0,0,10654.47,4762.9,23.81,0,0,0,0,66.6,17000000,13800000,28000000,0,0,31500000,14802000,7325000,0,0,0,0,16690000,15959.72,629.45,812.55,0,0,7198.97,7318.75,0,0,0,0,0,0,25880000,19250000,49650000,0,0,27500000,23720000,0,0,0,0,0,0,"109Y3S"
63000,臺北市,63000110,士林區,17449.15,5424.73,1399.97,20.49,0,6198.85,4375.45,29.66,0,0,0,0,0,16180000,12877500,50000000,0,0,24830000,18000000,8125000,0,0,0,0,0,4172.92,179.63,0,0,0,2284.36,1708.93,0,0,0,0,0,0,26500000,19650000,0,0,0,28880000,26500000,0,0,0,0,0,0,"109Y3S"
63000,臺北市,63000120,北投區,15321.27,5315.14,1324.88,57.01,0,4396.97,4173.85,53.43,0,0,0,0,0,12750000,11500000,31300000,34000000,0,16300000,14250000,6250000,0,0,0,0,0,7069.99,456.27,192.37,0,0,3876.62,2544.73,0,0,0,0,0,0,22640000,10380000,38300250,0,0,25000000,22250000,0,0,0,0,0,0,"109Y3S"
68000,桃園市,68000010,桃園區,75384.46,3853.26,7460.75,38.9,33.49,57651.73,6174.51,115.53,0,0,0,0,56.3,7920000,4050000,13125000,11150000,5640000,8565000,6000000,2675000,0,0,0,0,21800000,35874.64,170.71,1996.87,0,0,27556.25,6150.82,0,0,0,0,0,0,8800000,6200000,17000000,0,0,9200000,7500000,0,0,0,0,0,0,"109Y3S"
68000,桃園市,68000020,中壢區,84226.55,3547.22,15935.89,919.17,118.86,52279.71,6003.65,1224.91,1726.12,2287.77,125.15,0,58.1,7100000,3750000,11300000,21750000,11750000,7980000,4580000,1900000,35000000,152500000,27340000,0,2321000,30999.96,142.96,3122.44,574.87,0,22410.07,4599.84,149.79,0,0,0,0,0,8600000,8800000,16000000,7280000,0,8880000,6525000,6060000,0,0,0,0,0,"109Y3S"
68000,桃園市,68000030,大溪區,8323.48,366.44,4899.03,0,0,1994.81,933.66,0,0,0,129.55,0,0,7475000,2390000,6915000,0,0,9410000,4510000,0,0,0,50250000,0,0,3458.57,70.34,865.02,0,0,718.21,1804.99,0,0,0,0,0,0,6580000,3000000,10500000,0,0,6750000,6100000,0,0,0,0,0,0,"109Y3S"
68000,桃園市,68000040,楊梅區,29725.76,1139.48,15199.45,0,0,11550.8,1757.25,0,0,0,78.77,0,0,6250000,2225000,8600000,0,0,6250000,3300000,0,0,0,12900000,0,0,7557.87,363.15,1525.02,0,0,2835.46,2834.24,0,0,0,0,0,0,5100000,2375000,13825000,0,0,5200000,4450000,0,0,0,0,0,0,"109Y3S"
